name: Louise Lasser, dob: 1939
name: John Phillip Law, dob: 1937
name: Cloris Leachman, dob: 1926
name: Robert Loggia, dob: 1930
name: Karina Lombard, dob: 1969
name: Shirley MacLaine, dob: 1934
name: Jena Malone, dob: 1984
name: Jane March, dob: 1973
name: Jane March, dob: 1973
name: James Marshall, dob: 1967
name: Steve Martin, dob: 1945
name: Anna Massey, dob: 1937
name: Chiara Mastroianni, dob: 1972
name: Elaine May, dob: 1932
name: Malcolm McDowell, dob: 1943
name: Ian McShane, dob: 1942
name: Spike Milligan, dob: 1918
name: Ron Moody, dob: 1924
name: Terry Moore, dob: 1929
name: Jeanne Moreau, dob: 1928
name: Rita Moreno, dob: 1931
name: Don Murray, dob: 1929
name: James Naughton, dob: 1945
name: Judd Nelson, dob: 1959
name: Willie Nelson, dob: 1933
name: Paul Newman, dob: 1925
name: Jack Nicholson, dob: 1937
name: Nick Nolte, dob: 1941
name: Kim Novak, dob: 1933
name: Gary Oldman, dob: 1958
name: Per Oscarsson, dob: 1927
name: Peter OToole, dob: 1932
name: Frank Oz, dob: 1944
name: Sarah Jessica Parker, dob: 1965
name: Dolly Parton, dob: 1946
name: Sean Penn, dob: 1960
name: Bernadette Peters, dob: 1948
name: Leslie Phillips, dob: 1924
name: Michel Piccoli, dob: 1925
name: Ronald Pickup, dob: 1940
name: Marie-France Pisier, dob: 1944
name: Joan Plowright, dob: 1929
name: Roman Polanski, dob: 1933
name: Sydney Pollack, dob: 1934
name: Natalie Portman, dob: 1981
name: Micheline Presle, dob: 1922
name: Elvis Presley, dob: 1935
name: Barry Primus, dob: 1938
name: Jonathan Pryce, dob: 1947
name: Anthony Quinn, dob: 1915
name: Ronald Reagan, dob: 1911
name: Lynn Redgrave, dob: 1943
name: Vanessa Redgrave, dob: 1937
name: Roger Rees, dob: 1944
name: Carl Reiner, dob: 1922
name: Burt Reynolds, dob: 1936
name: Don Rickles, dob: 1926
name: Leni Riefenstahl, dob: 1902
name: Diana Rigg, dob: 1938
name: John Ritter, dob: 1948
name: Eric Roberts, dob: 1956
name: Julia Roberts, dob: 1967
name: Jean Rochefort, dob: 1930
name: Mickey Rooney, dob: 1920
name: Kurt Russell, dob: 1951
name: Winona Ryder, dob: 1971
name: Soupy Sales, dob: 1926
name: Peter Sallis, dob: 1921
name: Jennifer Salt, dob: 1944
name: Adam Sandler, dob: 1966
name: Chris Sarandon, dob: 1942
name: Susan Sarandon, dob: 1946
name: Fred Savage, dob: 1976
name: Greta Scacchi, dob: 1960
name: Arnold Schwarzenegger, dob: 1947
name: Hanna Schygulla, dob: 1943
name: Steven Seagal, dob: 1952
name: George Segal, dob: 1934
name: Jane Seymour, dob: 1951
name: Tupac Shakur, dob: 1971
name: Omar Sharif, dob: 1932
name: William Shatner, dob: 1931
name: Martin Sheen, dob: 1940
name: Sam Shepard, dob: 1943
name: Martin Short, dob: 1950
name: Ron Silver, dob: 1946
name: Tom Skerritt, dob: 1933
name: Christian Slater, dob: 1969
name: Lois Smith, dob: 1930
name: Maggie Smith, dob: 1934
name: Paul Sorvino, dob: 1939
name: David Soul, dob: 1943
name: Bud Spencer, dob: 1929
name: Sylvester Stallone, dob: 1946
name: John Standing, dob: 1934
name: Maureen Stapleton, dob: 1925
name: Rod Steiger, dob: 1925
name: Andrew Stevens, dob: 1955
name: Sting, dob: NULL
name: Meryl Streep, dob: 1949
name: Donald Sutherland, dob: 1935
name: Dudley Sutton, dob: 1933
name: Bo Svenson, dob: 1941
name: Patrick Swayze, dob: 1952
name: Jack Thompson, dob: 1940
name: Rip Torn, dob: 1931
name: John Travolta, dob: 1954
name: Guinevere Turner, dob: 1968
name: Beverly Tyler, dob: 1924
name: Robert Vaughn, dob: 1932
name: Jon Voight, dob: 1938
name: Lindsay Wagner, dob: 1949
name: Robert Wagner, dob: 1930
name: Christopher Walken, dob: 1943
name: Lesley Ann Warren, dob: 1946
name: Craig Wasson, dob: 1954
name: Sam Waterston, dob: 1940
name: Emily Watson, dob: 1967
name: Sigourney Weaver, dob: 1949
name: Robin Williams, dob: 1951
name: Vanessa Williams, dob: 1963
name: Vanessa Williams, dob: 1963
name: Fred Williamson, dob: 1938
name: Scott Wilson, dob: 1942
name: Kate Winslet, dob: 1975
name: Elijah Wood, dob: 1981
name: Michael York, dob: 1942
