Scott Sunderland
Donnelly Rhodes
Bsarbara Barrie
Patricia Barry
Geoffrey Horen
Yoko Yaguchi
Ko Kimura
Kyo Machiko
Minoru Chaiki
Kenji Mizoguchi
Kinuyo Tanaka
Kuninori Kodo
Daisuke Kato
Tasuya Nkadai
Tatsya Nakadai
Peter
Hisahi Ikawa
Satoshi Terao
Jinpachi Nezu
Daisuke Ryu
Akira Terao
Chishu Ryu
Sachiko Murase
Anna Thomson
Rebecca deMornay
John P. Ryan
Lolita Davidoitch
Jesper Sal\'en
Basia Frydman
Stellan Skarsgard
Niklas Odlund
Donald Pleasance
Maurice Murphy
Claire Tevor
Himphey Bogart
Jeffrey Linn
Janet Beecher
Guinn Williams
Harold Vermilya
Leo Glenn
Mark stevens
Anouk Aim\'ee
Zandor Vorkov
Angelo Rossito
JeanPiere Marielle
Caroline Sihol
Carole Richert
Guillaume Depardieau
Catherine Hessling
Doris Dudley
Elena Verdugo
Mario Cabre
Pamela Kellino
Wanda Rotha
Marcel Poncin
Christopher Neame
Stephanie Beecham
Dorothy Dell
Frank McGlynn~sr
James Gleason
Rita Johnson
Donald mcBride
Benny Rubin
Ted Donaldson
Art Baker
Ilan MitchellSmith
Jenny Wright
Roy Goldman
Pascal Lamorisse
Penelope Allen
Kevin Conway
Mahalia Jackson
Juana Hernadez
Phyllis Dixey
Ronald Frankau
Terence deMarmey
Abraham safaer
Arnold Laven
Phillip Coolidge
Robert H. Harrat
Sammy Reese
June Walker
Cathie Merchant
William Bramley
Jim Boles
Charles Seel
George Lindsey
Arthur Byron
Refinald Owen
Florence Arliss
Holmes Hernert
Alan Marshall
Mamie vanDoren
Conway Twitty
Earl Wilson
Sheilah Graham
Rocky Marciano
Elisha Cook
Ziva Rodann
Micket Shaughnessey
Louis Nye
Pamela Mason
Marty Milner
Vampira
Charles Chaplin~jr.
Harold Lloyd~jr.
Woo Woo Grabowski
Sandra Lynn
Ric Marlowe
Stephen Long
Joe Sawyer
Erin OBrienMoore
Robert Barrat
Helen Flint
Clifford Soubier
Alonzo Price
Dickie Jones
Dorothy Vaughn
Pat C. Flick
Francis Sayles
Paul Stanton
Egon Brecher
Sigreid Gurie
June Knight
Jackie Geason
Lisette Verea
Hardie allbright
Ronald reagan
Paul Anka
Fabian
Kenneth Moore
Gary Merritt
Jack Stuart
Amber Collins
Rene Baldwin
Wilbert Bradley
Giacomo RossiStuart
Ombretta Colli
Joy Bang
Marlene Clark
Roger Garrett
Slash Marks
Brian Backus
Jason Lively
Paul Baretel
Jeanette Charles
Peter Hugo
Julie Woodridge
Sylvia Badalati
Claudia Neidig
Moon Unit Zappa
Mena Suvari
Christopher Rozycki
Stella Maris
David Ryall
Deborah Findlay
Bill Paterson
Pierre-Grahame duFrisk
Annabella Sciora
MarieLouise Parker
Willliam Hurt
William Dafoe
Aleksandra Slaska
Anna Ciepielewska
Pat Priest
Casey Kasem
Barry Kroeger
Michele Nichols
Margaret Shendal
Bobbie diCiccio
Lilian Balsam
Levar Bundy
Bradford Bancroft
Cathy Moriarity
Lee Montgomery
Holly Gagnier
Mario van Peebles
Deborah Unger
Chistopher Lambert
Folke Sundquist
Ulla Jacobson
Gordon Goodrow
Melvin Stewart
Richard Schaal
Ed Begley~jr
G.W. Bailey
David Graf
George R. Robertson
Michael Winslow
Leslie Easterbrook
Janet Jones
Marion Ramsey
Archie Hahn
Jerry Lazarus
Tab Thacker
Buck Young
Keith Barcs
Roland Downey~jr
Paxton Whitehead
Adrienne Bobes
Terry Farrar
Efrem Zimbalist~jr
Nichalos Cage
B.D. Wong
Bert Parks
Isacc Hayes
Andre Deed
Valentina Frascaroli
Mathilde Lambert
Gabriel Moreau
Fernando VivasMay
Giulia Costa
Sihung Lung
Winston Chao
May Chin
Sihing Lung
AhLeh Gua
Tien Pien
Greg Wise
Skeet Ulrich
Jewel
Jonathan Rys Meyers
James Cavizel
Simon BakerDenny
Chan Yun Fat
Julia Adams
Stan Musial
James Millican
Richard Shannon
William Hudson
Sarita Montiel
Lili Darvas
Henry Morgan
Aline McMahon
Edgar Buchanan
Andrew Cruikshank
Alec Guiness
Mary Garth
Fred Vincy
Peter Jeffrey
Douglas Hodge
Juliet Aubrey
Trevyn McDowell
Suasanna Foster
Fats Waller
Bill Bojangles Robinson
Katherine Dunham
Nicholas Brothers
Ada Browwn
Zutyy Singleton
Ada Brown
Benny Carter
Mary Costa
Veronica Oddo
Elba Escobar
Genco Erkal
Harun Yesilyurt
Ayberk Colok
Gugi Bellista
Park Overall
Robert Arkins
Andrew Strong
Angelina Ball
Michael Aherne
Johnny Murphy
Colm Meany
Maria Doyle
Jimmy Nail
Roberta Maxwell
Aneeta Kanwar
Nana Paleker
Cumhur Vural
Otto Sander
Beatrice Pearson
Michael Wincott
Rochelle Davis
Richard OBrien
Arturo Pirovani
Guiseppe diLiguoro
Rachel McLish
John Enos
Emmanu\`elle Rivas
Eiji Okada
Giorgio Albertazzi
Sacha Pitoeff
Wilhelm vonDeek
Jean Lanier
Geral Lorin
Anna Duperey
Francois Perier
Ellen Busteyn
Don Barry
Michael Carmine
Marvin Liebman
Daniel Emilfork
Charles Millot
Henri Lambert
Patricia Cutts
Konstantin Shayne
Anthony George
Harvey Stevens
Ralph Clanton
Betsy vonFurstenberg
Carmen Mathews
Richard Waring
Benny Baker
Joanna Moore
Fred Robbins
Roscoe Ates
Wesley Lou
