Scott Sunderland
Thurstom Kall
Katherine MacDowall
Naoh Beery
Herbert Shaw
Wanda Hawley
Charles deRoche
Rudolph Schildkraut
Rita Gams
Lillian Roth
Marthe Sleeper
Lina Banquette
George Duryea
Harry Beresford
Henry Wilcoxson
Gertrude Michael
John Ellison
Kenry Kolker
Katherine deMille
Lyle Bettger
John Ringling North
Telly Savales
Maria Falconetti
Julian West
Henriette Gerard
Rena Mandel
Jan Hieronimko
Maurice Schutz
Sybille Schmitz
Albrecht Bras
Nina Babanini
Lisbeth Movin
Thorkild Roose
Anna Svierkier
Preben Lerdoff Rye
Sigrid Neiiendam
Francis Frappat
Jacques Martial
Don Siegel
Mariana Hill
Paula Trueman
Geraldine Keame
Woodrow Parfey
Sandra Locke
Beverlee McKinsey
Dan Vadis
Sierra Pecheur
Walter Barnes
Wolf Kahn
Warren Cosell
Samuel L. Wright
Pepe Senna
Marco Rodriguez
Tony Plana
Keith Szarabajka
T.J. Lowther
Jim Haynie
Annie Corley
Victor Slezak
Melora Hardin
Lady Chablis
Lisa Gay Hamilton
James Wood
Francesca FarmerEastwood
Dina Ruiz
Sarah Pickering
Amelda Brown
Emma Croft
Don Henderson
Olinka Beruva
Marian Spencer
Russell Enoch
Ruth Dunning
Elsy Abiin
Catherine Alric
Lyda Borelli
Lamberto Picasso
Ugo Piperno
Wanda Capodaglia
Ruggero Capodaglia
Soava Gallone
Bruno Emanuel Palmi
Mina dOrvella
Mario Cusmich
Marlene Jobert
Madeline Zima
Annabelle Sciora
Joseph Mazello
John C. Relly
David Straithearn
Alastair Sims
Godfrey Teale
Gabrielle Brume
Sidney James
Jack McGowran
Ewan Roberts
Petter Sellers
Jaimie Lee Curtis
George Couloris
Dan Durya
Patricia Morrison
Louise Allbritton
Billy House
Emily Longstreet
Christi Conaway
Victoria Haas
Kye Benson
Mel Torme
Ray Anthony
The Platters
Gloria talbot
Cathy Crosby
Maggie Hayes
Sheila Graham
Jim Mitchum
Christopher Dark
Roger Delgado
Viviane Romance
Noel Roquevert
Isabelle Pia
Michele Merier
Zhang Fengyi
Gong Li
Kevin lin
Darnell Williams
Nicole Alysia
Jack McGee
Bonnie Bedalia
Marion Byron
Ukele Ike
Virginia Obrien
Tommy Dorsey
Alan Garfield
Sam Sheppard
Britt Leach
Kimberly Williams
Saul Rubineck
Chalie Martin Smith
Ralph Bewllamy
Richard Aherne
Victor Frances
Peggy Drake
Steve Gerat
Margeret Wycherly
Roalnd Petit
Erik Bruhn
Joey Walsh
Mitzi gaynor
Kurt Kaznar
Patricia Marshall
Joan McCracken
Morris Akrum
Jaques Francois
JeanPierre Aumant
Kurt Kasnar
Charlotte Greenwwod
Barbara Whiting
Tom
Jerry
Jim backus
Claire Kelly
Miiko Taka
Lenka Novak
Karen Stride
Katie Dolan
Ken Wright
John Vargas
Roman daSalvo
Jonee Gamboa
Katherine Blake
William Squire
Nora SwinBurne
Liv Ullman
MarieFrance Pisier
Christian Marquand
Tammy Lauren
Vera Baranowskaya
Valeska Gert
Theodor Pistek
Mana Zeniskova
Agnes Jaoui
JeanPierre Bacri
Horace McMahon
Eddie Parker
Maxie Rosenbloom
Mack Sennett
Richard Karlan
Peggy King
Isa Barzizza
Gianni Agnus
Juliette Mayniel
Louis Jean-Trintignant
JoseMaria Caffare
Marie La Forette
Stephan Audran
michel bouquet
Und
Paul Gegauff
Danielle Gegauff
Paula Moore
Michel Valette
Jacques Penot
Virgenie Thevenet
Barbara deRossi
Isabel Huppert
Nils Travenier
Mireille Perrier
Cecile Ducasse
Isaach deBankole
Giula Boschi
Francois Cluzot
Isaach deBankol\'e
JeanClaude Adelin
Gregoire Colin
Alice Houri
Sylvie Testau
Emanuelle Laborit
Howie Szego.
Eric Galen
Sybille Carrerra
Mathias Haupert
Hansa Czyaparski
Alexandra Martinez
Didier Bexace
Simon delaBrosse
Nathalie Cardone
Romane Bohringer
Elena Safonova
Sami Frey
Andre Dussollier
Elisabeth Bourgine
JeanLuc Bibeau
JeanHugues Anglade
Melanie Myron
Anita Skinner
Thierry Lhermite
Gerard Depardieux
Roberto Begnigni
Gottfied John
Hardy Krueger~jr.
Whitney Bourne
Esther Dale
David Arnott
sa sa
Ethel Grandlin
Virginia Powell
Edwin S. Porter
Jeremy Theobald
Helena Bergstrom
Robert Cornthwaite
Marilyn Devon
Stephen Roberts
James McKechnie
Dulcie Gray
Raqchel Roberts
Cyril Magnin
George Baker
Burr deBenning
Jaqueline Bisset
D.W. Moffett
Barrie Ingram
James Hayter
Leon Greene
John Arnatt
Margaret lockwood
Wyndham Goldie
Diana Wynard
Kathlenn Harrison
Felix Aymer
Stephen Haggard
William harnell
Hugh Burden
Jimmy hanley
Renee Asherson
Penelope Dudley ward
Reginal Tate
W.G. Fay
Maureen Delany
Dennis ODay
Wilfrid HydeWhite
Siegfried Breuer
Erich Ponto
Kerima
Annabel Morley
Helen Shaven
Eliza Dusku
Gillian Anderson
David Vincent
Shawn Weatherly
Megan Ward
Damon Martin
Jonathan Penner
Terrie Snell
Nita Tabbot
Dean Cochran
Mark Borchardt
Mike Schank
Max
Alfred Edel
Serreau
Firmine Richards
Pierre Vernier
Gilles Privat
Muriel Combeau
Sambou Tati
Jean Byron
Billy Curtis
Angelo Rossitto
Tom Conway
Paul Cavanaugh
Gianna Segale
Melissa Altro
Ferando Rey
Ana Torrent
I\~naki Aierra
Assumpta Serra
Antonio Gades
Laura deSol
Paco deLucia
Cristina Jimenez
Sebastian Moreno
Cramen Maura
Giovanni Guidelli
Rupert Graves
Helen Bonham Carter
Charles T. Bradstreet
Frank Buck
Clyde Beatty
Gar Moore
Percy Helton
Victor Wong
Max Elliott Slade
Sean Fox
Evan Bonifant
Dustin Nguyen
Kevin Tighe
John Ridgely
Robert coote
Fred McMurray
Judith Henry
Rosalind Ayres
James Booth
Ernst Lubitsch
Martha Krivitz
Holly Woodlawn
Fran Lebowitz
Taylor Meade
Lou Reed
Ultraviolet
Esper Skouter
James Maxwell
Alfred Burke
Matthew Guiness
Norman Bristow
John Cording
Cyril Collard
Carlos Lopez
Michelle Sweeney
Alice Dabo
Constance Garneau
Winifred Holden
Cissy Meddings
Mary Meigs
Catherine Roche
Beth Webber
Stefania Casini
Renato Scarpa
John Boles
Bill Robinson
Frances Hunt
Charles Winniger
Kay Keyser
George Cleveland
Gordon McRae
Billy deWolfe
Bill Gordon
Lucille Norman
George Givot
Robert Shackleton
Mary Germaine
Howard Marion Crawford
Kjell Bergquist
Rolf Lassgard
Niklas Hjulstrom
Dorin Harewood
Anthonu Pozzini
Gayle Hunnicutt
Stephanie Bimead
Sydne Rome
Erika Pluhar
MaryLouise Parker
Ralph Maccio
William Styron
Whoppi Goldberg
Arthur Penn
Lawrence Harvey
Benson Fong
Sigrid Vallis
Elliot Gould
Sean Gullette
Ben Schenkman
Marcelline Day
Jack Luden
Adreinne Dore
Shirley OHara
Fuller Melish~jr
Doris lloyd
William Stack
Phillipe DeLacy
Lionel Attwill
Muriel Kikland
Mary Carlisle
Edward Brophy
Chester Clute
Judi Bowker
Cathianne Blore
Jodi Bensen
Charo
Gilbert Gottfried
Guillaune Canet
Jaen Rogers
Richard Clarke
Nacy Davis
Audrey Caire
Mick Jagger
Michele Breton
Berry Kroeger
Elizabeth Alexander
Cecil Holmes
Niall McGinnis
Andrew Faulds
Martine Beswick
Rod Scheider
Max vonBulow
Jennifer LoveHewitt
Brandy
Marylin Chambers
Samantha Eggert
Anthony Scherbe
Genvieve Bujold
Nicholas Campbell
Grayson Hall
Nancy Barret
George Pravda
HannaMaria Pravda
Virginia Wetherall
Harold Kaskel
Peter Vaughn
Jack Gwyllim
Andra Akers
Jon Stewart
Cole Sprouse
Dylan Sprouse
janeane Garofalo
Georgina Cates
Hansa Czpionka
Ozay
Doris Kuntsman
Lambert Hamel
Omer Simsek
Ulrich Wesselman
Uwe Ochsenknecht
Gottfried John
Jaques Weber
Elayne Heilwveil
Gelaine Lomerez
Ann Ramsey
Lillian Folley
Wilhamenia Dickins
Kelly Nichols
Aneta Corseau
Wesley Ure
Billes Pelletier
Clifton Young
Rory Mallinson
Arthur Humicutt
Franco Fabrizi
Valerie French
Jeremiah Persoff
John Mc
Mimsey Farmer
Virginia Green
Yvonne DeCarlo
Hermine Demoriane
Steve Waddington
Jody Graber
Annie Lennox
Outrage
Derek Jarman
John Quentin
Karl Wuhrer
Karen Steele
Larry Blyden
Patricia Smith
Frank overton
Audre Meadows
Audrey Dalton
Diane Salinger
John Calvin
Anthony Peck
Priscilla Pointer
Mario VanPeebles
Gerard Jugnot
Paul mcGann
Brian Glover
Danny Webb
Christopher John Fields
St\'ephane Audran
Elisha Cook~jr
Julia Walters
Stephanie Lawrence
Ellen Beaven
Michael Atwill
Martin Jarvis
Virgina Madsen
Elizabeth Bisbon
Griff Barnett
Lan Turner
Enzio Pinza
Jill Schoeler
Alex HydeWhite
Roger E. Mosely
Deborah Offner
Andy Romand
Jason James Richter
Jon Turner
Mykelta Williamson
Francis Capra
Phil Spector
Sharon Farell
Vincent Donofria
Bill Calvert
Fisher
Larry linville
Judd Omen
Joe Ann Deering
June Ludehart
Miriam Makeba
Elizbeth Hurley
Eb Lottimer
Al Ruscio
Jeff Pomerantz
Linda Dona
Paul Gilbert
Lio
Hippolyte Giradot
Lane Killing
Phillipe Levree
Judith Reral
Yara Atta
Ingrid Held
Eileen Erskine
Ivor Barnard
George Hayes
Betty Ann Davies
Wlfrid Hyde White
Joseph Tomelty
Jos\'e Ferrer
Donald Wolfit
I.S. Johar
Michael Ray
John Dimes
Zia Mohyeddin
Hugh Midler
Nigel Haver
Amit Rao
Michael Culver
Sandra Hotz
Peter Hughes
Larry Groce
Johnny Paycheck
Dusty Rhodes
Porter Wagoner
Webb Wilder
Razzy Bailey
T.Graham Brown
Dick Davalos
Alfie Wise
Bill McCutcheon
Carol deLuise
Peter deLuise
David deLuise
Scott Wolf
Desmond Askew
William Fichtner
Brickin Meyer
Tim Byrd
Bryan Kevin
Diana hyland
Mickey Sholdar
Susan Blakley
Efrem Zimbalist~jr.
Paolo Hendel
Giovanni Giudelli
Charles Kaminsky
Hannah Gordon
Peggy Lipton
Will Patton
Kieran Mulronet
Gailard Sartan
Geoffrey Toon
Maurice Marsac
Gerald S. OLoughlin
Felicity Huffman
Ricky Jay
Rebecca Pidgeon
Guy Edwards
Gemma Jones
Colin Stinton
Patricia Roe
Dennis Vance
Mike Vitar
Omar York
Patrick Renna
Sinbad
Tomothy Birsfield
Bill Colls
Lisa Eichman
Christopher Reid
Christopher Martin
Tisha Campbell
Full Force
Georg Stanford Brown
Allen Paynel
Jada Pinkett
Paul Valentine
Marion Hutton
Anne Sheridan
Rossanno Brazzi
Maureen Delaney
Loring Smith
Paty Duke
Sergi Lopez
Sophie Gullemin
Sdk
Gaby Ho
Asleigh Aston Moore
Nirvana
Dinosaur~jr.
Gumball
Babes in Toyland
Dudley Murphy
Kiki de Montparnasse
Mrs. Dudley Murphy
Dudley Digges
David Duhovny
Hinrik Linnros
Phillippe Leotard
Talia Coppola
Michael Baldwin
Leon Gordon
Yaiwalak Chonchanukun
Dennis ORourke
Tsi Chin
Howard MarionCrwaford
Marie Versini
Karen Dotrice
David Warren
Donald Pickering
Miles Anderson
Paul McDowell
Bobby Clark
George Mathews
Joseph Downing
Mark Dano
Napoleon Whiting
Patricia Doanahue
Florence MacMichaels
Meri Welles
Jessie Roy Landis
Anette Funicello
Jesse White
Donna Loren
Susan Hart
Sid Cesar
David Argue
Des Mangan
Sally Patience
Nanita Das
Jaaved Jaaferi
Badi Uzzama
Enrico Colatoni
John Fielder
June Whitfield
Bernard Archard
Vincent Phillip DOnofrio
William R. Moses
Adam Storke
Louis Turenne
Sean Austin
Louis Gossett~jr.
Kent Coogan
Will Albertson
R.Lee Ermy
Masour Adani
Sham Phelan
AnnMargaret
John DiResta
Deidre Quinn
Nathalie Nell
Robert Vaugn
Celia Weston
Christophe Garcia
Isabelle Sadoyan
Arlette Balkis
Daniel Milgram
Rosemary deCamp
Erskine Sandford
Ramon Navarro
Don Alvorado
Ramon Dan
Virginia Christine
Sam Peckinpah
Paul Benjamin
LeslieAnn Doen
Paul Koslo
Val Avery
Leigh Taylor-Young
Patricia Clarckson
Deeny Dakota
Jean Gago
Simi Mehta
Sheila Towers
Winston Reckert
Patricia Knight
Ludmilla Tcherina
George Dolenz
Sara Shane
William Reynolds
Judy Nugent
Marianne Cook
Erich Maria Remarque
Christopher Olson
Susan Kohner
Sandra Gould
Diane Starin
Tom Dodge
Rob Scheider
Ken
Bradford Tatum
Toby Huss
Rip Torn)
Vivian nathan
Edgar Stehli
Hazel court
John Alderson
Alan Hewitt
Mickey Dora
Shelley Fabares
Robert Foxworth
Ron ONeil
Michael Pennington
Clare Bloom
Eleanora RossiDrago
Anita Mancic
Alexandra Rohmig
Ronnie Corbett
James Roberton Justice
Karisma
Sarah jessica Parker
Paul Mazurky
Naomi Campbell
Adriana Caselotti
Lucille LaVerne
Jason Roberts
Joanne WhalleyKilmer
Charlotte Lewis
Chuck McCann
Charlie Haid
Chino Fats Williams
Jeff Perry
Galyn G\"org
Justine Arlin
George Kee Cheung
Phillip Carter
Anthony Teague
Maureen Arthur
Jonna lee
D.W. Griffith
Mac Sennett
Jeanie Mcpherson
Dark Cloud
Dell Henderson
Coseson
Robert Harron
Kate Bruce
Charles Hill Mailes
W.Christie Miller
Alfred Paget
Henry Walthall
Howard Gaye
Edward Peil
Clarine Seymour
Porter Strong
Lilian Ghish
Dorothy Ghish
Morgan Wallace
Erville Anderson
Hans vonSchlettow
Margarethe Kupfer
Walter Houston
Frank Campeau
William Hutt
Martha Henry
Walter Genewin
Julia Child
Jacqueline Brumford
Anthony James
John Rourke
Margery Rose
Peter VanNorden
Gail Neely
Weird Al Yankovic
Mary Lou Retton
Phil Donahue
Maly Delschaft
Warwick Ward
Kathleen Burke
Bradley Page
Shirley Grey
Adrienne Arns
Benton Churchill
Donald Kerr
Naoah Beery~jr.
Douglas Dumbrille
The Ink Spots
Glen Strange
Bill Nunn
Cynthia Gibb
Andrea Martin
Linda Jer
Jennifer Becks
Tony Shalboub
Mike Nussbaum
Whitney Green
Turkan Soray
Ekrem Bora
Gulsen Tuncer
Larry
Moe
Shemp
Fuzzy Knight
Peggie Castle
Arthur Blake
Paul Marion
Laurette Luez
Curly Joe
Emil Sitka
Gene Roth
Samson Burke
Carol Christensen
Sam Hardy
Steve Clemento
Mike McGlone
Butch Patrick
Debbie Watson
Richard Dawson
Cliff Norton
Robert Pine
Richard Baseheart
Carol Lindley
Robert Barat
June MacCloy
Dan Dailey
Henry ONeil
Xavier Cugat
Sylvia Breamer
William 'Stage' Boyd
Harry Green
R.H. Thompson
Patrick Knowles
Five Hertzogs
Fiorello LaGuardia
Doris Kunstmann
Eduarado DeFilippo
Ice T
Bill Hawkins
F.Murray Abrahams
Billy Zale
William Saddler
Ula Holt
Frank Baker
Dale Walsh
Acquanetta
Fay Hemlm
Ralf Harolde
Bill William
Jean Porter
Johnny Sands
Loren Tindall
Ruth Nelson
Selena Reynolds
Harry vanZell
George Cooper
May Mitchell
Lex Baxter
Agenes Moorehead
Carl Baker
Elisabeth Ashley
Abnes Moorehead
Jarma Lewis
Gardner McKay
Nathalie Delon
Marilu Toto
Karin Schubert
Tom Everett
Josephine
Ruth Selwyn
Edward D. Wood~jr.
Timothy Farrell
Tommy Haynes
Gregory Ealcott
Mona McKinnon
Vampyra
Philippe deLacy
George Fawcett
Emily Fitzroy
Marion Davis
James Gleson
Betty Davis
William Lundigan
Fritz Korther
Jon Wengraf
Cecil Humphreys
Edward Cianelli
Andre Charlot
Olga Baclanova
Goerge Tobias
Leon Belasco
Aldo Maccione
Jaquline Wells
Ludwig Stoessel
Iris Adrian
sa s a
Gloria Talbot
Artuhr Shield
JeanIves Dubois
Robert Ames
Monroe Owsley
Ilka Chase
Anne Demetrio
Tulio Carminata
Freddie Slack
Ralph Mauro
Stella Rosato
George Berrill
Frank Lanning
Joe Rickson
Hart Hoxie
Adelene deWalt Reynolds
Paul Mann
Linda Marsh
Lou Antinio
Salem Ludwig
Frank Wolff
Nicholas Joy
Harold Vermilyea
Ransom M. Sherman
Tony Galento
Michael V. Gasso
James Dean
Richard Davolos
Mario Siletti
Harold Gordon
Nick Dennis
Percy Waram
Marshall Neilan
Martine Bartlett
William Inge
Ingrid Boulting
Cecila Brady
Juan deMarco
Ljubica Adzovic
Davor Dujmovic
Sinolicka Trpkova
Husnija Hasimovic
Elvira Sali
Bora Todorovic
Else Kentner
Harry Liedtke
Max Laurens
Paul Biensfeldt
Victor Jansen
Julius Falkenstein
Hermann Thimig
Lotte Neumann
Jacob Tiedtke
Ernst R\"uckert
Henny Porten
Ferry Sikla
Kurt G\"otz
Jenny Hasselqvist
Hedwig Pauly
Aud Egede Nissen
Ludwig Hartau
Paul Heideman
Dagny Servaes
Lyda Salmanova
Alfred Abel
Hilde W\"orner
Rod LaRoque
Fred Malatesta
Ronald Coleman
Gustav vonSeyfferlitz
Phillippe deLacy
Albert Roccardi
Carleton Stockdale
Yola dAvril
Andre Sheron
Russell Powell
Winter Hall
Margaret Fealy
Skeets Galagher
Dennis King
Tyler Brooke
John Roche
Albert Conti
Helen Garden
Donald Novis
Erc Bye
David Percy
Billy Bevan
Sidney Bracey
Nancy Carrol
Tom Douglas
Louise Carter
Richard Carle
Barbara Leonard
Josephine Dunn
Charles Judels
Leonid Kinsky
Sacha Guitry
Inez Courtney
Jerry Ohrbach
Cynthia Rhodes
Kelly Bishop
Bill C
Pauli Trueman
Elaine Edwards
Gary Moore
Felix Locher
Jack Somack
Jeannie Berlin
Mona Maris
Adrienne Ames
Vince Barnett
Leo G. Carrol
Lynne Carver
Lionel Braham
dArcy Corrigan
Anthony Allan
Willie Fung
Robert Middlemass
Mary nash
Joan Perry
Don Douglas
Hoagy Charmichael
Don Rice
Viva Tobin
Lorraine McLean
Edward Nugent
Ernest Cossart
Leif Erikson
Glen anders
Lili Palmer
Stella Adler
Macdonald Carey
Florinda Bolkan
Jean Gascon
Manu Tupou
Corinna Tsopei
Tom Brfown
Douglas Scott
Ethel Grey Terry
Michel Galabru
Claire Maurier
Remi Larent
Marcel Bozuffi
Fabrici Luchini
Edie Murphy
Dominique Buyses
Della Reese
Arsenio Hall
Weldon Heyburn
Ted Healy
Mona Berrie
Macklyn Arbuckle
Joseph Kilgour
George Nash
Tyrone Power~sr.
May Vokes
W.C. Fieds
Olin Howland
Princess DeBourbon
Randi Allen
Alan Scarfe
Beverly Murray
Hugh Sanders
Tyrone Guthrie
Dolly Mollinger
Elke Sommers
Peter Carsten
Marius Goering
Alexandra Stwart
Zaker Makre
Theresa Saldona
Frank Aragon
Terry Valentino
Peter Kwong
Mike Moraff
Daniel Villareal
Lupe Amador
Claudine x
Floyd McClure
Carl Hackett
Florence Rasmussen
Albert Bitterling
Howard Pettis
Roscoe Collins
Henry Shipes
Randell Dale Adams
Henry Wade
Douglas Mulder
Teresa Turko
Stephen Hawking
George Medonca
Rodney Brooks
Fred E. Leuchter~jr.
Robert Faurisson
Robert Jan vanPelt
JeanLouis Trintigant
MarieChristine Barault
Beatrice Romand
Edith Clever
Edda Seippel
Marc Eyraud
Marie Christine
Beatrice Ronand
Andre Dussolier
Feodor Atkins
Marie Riviere
Jo\"elle Miquel
Jessica Forde
Charlotte V\'ery
Herv\'e Furic
Michel Voletti
Fr\'ed\'eric VanDenDriesche
Clara Bellar
Aurore Rauscher
Michael Kraft
Veronika Johansson
Benedicte Loyen
Kai Taschner
Anette J\"unger
Michael Lesch
Dieter Schaal
Karin Kienzler
Eva Maria Bayerswalter
R\"udiger Weigang
Karin Rasenach
Elle Macpherson
Louise Latimer
Thomas White
Arthur White
Vivian Vaughn
Marie Murray
Broncho Billy Andersom
George Barnes
Frank Hanaway
James K. Hackett
Lily Langtry
Minnie Madern Fiske
W.R. Walter
Olive Fuller Golden
Harold Lockwood
Tsilla Chelton
Georges Colin
Noelle Adams
Gillian Hills
Dany Carrell
Judith Light
Johnny Golocki
Grace Zabrieskie
Stefano Satta Flores
Jean-Claude Brialy
Fanny Ardent
Joan Valerie
Queenie Vassar
Lee vanCleef
Paul Christian
Kenneth Toby
Leigh Madison
Roy dArcy
Edward Conelly
Matthew Betz
Maude George
Cesare Gravina
Jennnifer Lopez
Fabio Frascaro
Cosimo Cinieri
Chiaa Torelli
Anna Dinitri
Ines d'Anbrosio
Paolo Massafra
Natasha Regnier
Patrick Mercado
Jo Fredo
Jihmi Kennedy
Lenny vonDohlen
Rob Lowes
Seth Gilliam
Regina Taylor
Marie Wells
Julian Riviero
Ernie Adams
Hank Bell
Chris MacDonald
Kevin Scannell
Jeremy Fisher
Charles Farell
Gladys Brockwell
David Butler
Nenry Armetta
Guido Trento
Blanche Frederici
Karin Booth
Eddie Quinlan
Spencer tracy
John Arledge
Elenora Duse
Febo Mari
Tristram Coffin
Mae Clark
Judd Holgren
Aline Towne
Alma Bennet
Russell Hopton
Claude Allester
Louise Clossr Hale
Barabara Stanwyk
Toshia Mori
Margaret McWade
Margaret Setton
Isabel Jewel
Edward Everettt Horton
Vaughan Glaser
Gary Owen
Edward McNamara
Edward McWade
Carolyn Rhimes
Alfalfa Switzer
Francisco Aliwas
Bill Slack
Rudy Robles
Philip Coolidge
Ruta Lee
Ralph Peters
TinTan
Gabriel Garcia Marquez
Adam Sadler
Billy Idol
Tim Robbins..
Bob Gunton
Clancy Brow
Doug Hutchinson
Nancy Kovak
Peggy Shannon
Samuel Hinds
Ethel Smith
Glenn Tryon
Rufe Davis
Audrey Young
Rose Murphy
Peppino deFilippo
Carla delPoggio
Brunella Bovo
Leopoldo Trieste
Guilietta Masina
Eleanora Ruffa
Alberto Soldi
Ricardo Fellini
Franco Fabbrizi
Walter Santesso
Sandra Milo
Rossella Falk
Madelaine Lebeau
Guido Alberti
Jean Rogeul
Annibale Ninchi
Edra Gale
Valentina Cortese
Martin Potter
Hiram Keller
Salvo Randone
Max Born
Federico Fellini
Britta Barnes
Fiona Florence
Puppela Maggio
Magasli Noel
Armando Brancia
Ciccio Ingrassia
Carmen Scarpitta
Cicely Browne
Bernice Stegers
Frddie Jones
Victor Poletti
Giulietta Massini
Frederick Lebedur
Frederico Fellini
Sergio Rubino
Antonella Ponziani
Paola Liguri
Maurizion Mein
Lara Wendel
Ronald Colby
Frederick Forrest
Michael V. Gazzo
Phil Feldman
William Bowers
Nastassia Kinski
Kevin J. OConnor
Nina Siemaszko
Anders Johnson
Corky Nemec
Franc dAmbrosio
Richard Bright
Donal Donelly
Willie Brown
Don Novello
Franco Citti
Vittorio Duse
Michel Russo
Sadie Frost
Terry Winston
Channing Stockard
Bris Karloff
Lisa Howard
Nino Marcel
Kirstin Scott Thomas
Colin Welland
Theu Boermans
Glenn Gould
Jaques Dutronc
Genevieve Casile
Jaques Duby
Leon Dary
Paul lePerson
Maiwenn leBesio
Jaques Sergs
Gerard Desurthe
Kevin Vanhentenryk
Robert Vogel
Henry Fonds
Cliff Rbertson
Shelly Berman
Richard Muench
Michael Strong
Gerald Flood
Jach Gwillin
Lionel Murta
Steven Guttenberg
John Rubenstein
Prunella Scales
MichaelJames Wixted
Brad Savage
Julias Harris
Rg Armstrng
Deborah Moore
Blanch Sweet
Reiner Schone
Giampiero Albertini
Annabella Incontrera
Gianni Rizzo
Joen Rodgers
Frank Shannon
Richard Alexander
Rudolph KleinRogge
Walter Janssen
Paul Richter
Marguerite Sch\"on
Theodor Loos
Hannah Ralph
MarieBrigitte Helm
Heinrich George
Fritz Rapp
Otto Wernicke
Gustav Gr\"undgens
Arthur Loft
Jess barker
Keith Andes
Jocelyn Brando
Dan Seymor
Norman Shelley
Donald Huston
Mrgaret Rutherford
Ricard Wattis
John Bentley
Stefan Arngrim
Cecilia Loftus
Flora Sheffield
Margeret Lindsay
Irene Brown
Colin KeithJohnson
Movita Castenada
Rebecca Wassem
Bennie Bartlett
Donald meek
Pedro deCordoba
Lucy Beaumont
Ira Singman
Alma Lloyd
Mark Lawrence
Leonard Lyons
Ann Belek
Cynthia vanDamme
Julie Jalaber
Roland Waden
Robert Malone
Greta Schroeder
Max Hiller
Hans Unterkirchen
Camilla Horn
Yvette Guilbert
Gunther Fuetter
Frida Richard
Matahi
Paul Graetz
Gordon Hart
George Regas
Sidney Bracy
Tetsu Komai
Miki Morita
Housely Stevenson~sr.
Frank Lackeen
Estelita Rodriguez
Nestor Pavia
German Robles
Abel Salazar
Tim McIntire
Fran Dreschler
Laraine Newman
Mossie Drier
Mildred Davis
Norah Young
Jobina Ralson
Mantague Shaw
Beatrice Roberts
Roland Drew
Anne Kimbell
Alessandro Gasman
Edy Williams
Jasae
Kathryn Erbe
Dana Delaney
Peter MacNichol
Chistopher Durang
Paul Sobel
Richard MacMurray
Beverly Ballard
Jane Connell
Bruce Davidson
Cathy Burns
Ernesto Gonzales
Joe Cortese
Adolfo Celli
Leonardo Cimino
Frank Perry
Derek deLint
Marc vanUchelen
Monique vandeVen
John Kraaykamp
Barry Gordon
Gene Saks
John Burke
Remy Ryan
Jean Moorehead
Barbara Weeks
Glen Corbett
Gloria Parr
Lee Constant
Art Millan
I.Stanford Jolley
Ewan Hooper
Barry Andrews
Barbara Ewins
Vanessa Howard
Howard Trevor
Ursala Howells
Oliver MacGreevy
Chloe Frank
Ian Hendry
Donald Plesance
Jill Schoelen
J.Eddie Peck
Sydney Lassick
Savina Gersak
Sandra Sexton
Bruce Marchiano
Marianne Muellerleile
Terrence Evans
Al Fann
Jose Garcia
Elka Kaota
Christopher Michtchum
Nina deRose
Lew
Christopher White
Harley Jane Kozak
Brian McNamara
Mary Carver
John Don Belden
Jeffrey
Richard Charles
Helen Joe Osment
Oliver Williams
Tigger Moore
Marguerite dela Motte
Rudolph Velentino
George Field
Rose Rosanova
George Perolat
Carmel Meyers
Julia NicksonSoul
Jamal Shah
Luca Bercovici
Tim vanRellin
Annie Grindley
Elena Stickler
Alain Cluny
Paolo Bonacelli
Irene Pappas
Francois Simon
Julia MigenesJohnson
Ruggiero Raimondi
Meridith Baer
Lisa Reeves
Haryy VonZell
Alvey Moore
Eddire mayhoff
Anita Eckberg
George `Foghorn' Winslow
Fats Domino
Eddy Cochran
Little Richard
Eddie Fountain
Mickey Hargitay
Salavtore Baccaloni
Isa Moore
Sebastion Cabot
Arthur Godfrey
Dom deLuise
Mildred Coles
Frances Neal
Tommy Lewis
Freddy Reynolds
Charles `Bud' Tingwell
Bruce Myles
Neil Fitzpatrick
Nikolai Pastukhov
Steve Gutenberg
Catherine Quinlan
Samir Guesmi
Khaled Ksouri
Sondos Belhasseni
Veronica Quilligan
San Cox
Said Zakir
Robert Fraser
Larry Simms
Irving Bacon
sr
brat
Clare Maurier
Albert Remy
Patrick Auffay
Marie Dubois
Albert R\`emy
Mich\`ele Mercier
Henri Serre
Oscar Werner
Varna Urbin
Jean DeSailly
Nelly Benedetti
Daniel Ceccaldi
Laurence Badie
Phillipe Duval
Paule Emmanuele
Maurice Garvel
Dominique LaCarriere
Pierre Risch
JeanLouis Richard
JeanPierre Cargol
Francoise Seigner
Hiroke Berghauer
Stacey Tenderer
Sylvia Marriott
Jean Champion
David Markham
Grahame Greene
Bruce Robinson
Reubin Dorey
Geory Desmouceaux
Virginie Thevenet
Philippe Goldman
Jeanne Lobre
Dorothe\'e
Heinz Bennent
Andrea Ferreol
Michele Baumgartner
Philippe Laudenbach
Nora Lane
Lily Damita
Kate Smnith
Stuart Erwin sr
The Mills Brothers
Eddie Lang
The Boswell Sisters
Ruth Etting
Goldwyn Girls
Rosalind Keith
Veronica Ladd
Anne revere
Lela Rochon
Henry Conniff~jr.
Sonny Landham
Kim Dakour
Tom Joyner
